Equipes;Joueurs;Position;Matchs Joués;Buts Marqués;Buts Assités;Nbre Minutes Jouées;Buts Comptés;Victoires;Défaites;Tirs Subits;Buts Alloués
Philadelphia Flyers;Sean Couturier\coutuse01;C;75;30;40;0;0;0;0;0;0
Minnesota Wild;Charlie Coyle\coylech01;C;57;11;24;0;0;0;0;0;0
Toronto Maple Leafs;Adam Cracknell\crackad01;AD;5;0;0;0;0;0;0;0;0
New York Rangers;Adam Cracknell\crackad01;AD;4;0;0;0;0;0;0;0;0
Dallas Stars;Adam Cracknell\crackad01;AD;1;0;0;0;0;0;0;0;0
Los Angeles Kings;Andrew Crescenzi\crescan01;C;2;0;0;0;0;0;0;0;0
Buffalo Sabres;Kyle Criscuolo\criscky01;C;9;0;0;0;0;0;0;0;0
Pittsburgh Penguins;Sidney Crosby\crosbsi01;C;75;25;56;0;0;0;0;0;0
Arizona Coyotes;Lawson Crouse\crousla01;AG;11;1;0;0;0;0;0;0;0
Minnesota Wild;Matt Cullen\cullema01;C;71;10;11;0;0;0;0;0;0
Boston Bruins;Austin Czarnik\czarnau01;C;10;0;4;0;0;0;0;0;0
Florida Panthers;Evgeni Dadonov\dadonev01;AD;64;23;33;0;0;0;0;0;0
Carolina Hurricanes;Klas Dahlbeck\dahlbkl01;D;25;0;1;0;0;0;0;0;0
Chicago Blackhawks;Carl Dahlstrom\dahlsca01;D;11;0;3;0;0;0;0;0;0
New York Islanders;Michael Dal Colle\dalcomi01;AG;4;0;0;0;0;0;0;0;0
Detroit Red Wings;Trevor Daley\daleytr01;D;69;9;6;0;0;0;0;0;0
Columbus Blue Jackets;Zac Dalpe\dalpeza01;C;12;0;0;0;0;0;0;0;0
Montreal Canadiens;Phillip Danault\danauph01;AG;52;8;17;0;0;0;0;0;0
Winnipeg Jets;Marko Dano\danoma01;C;22;2;1;0;0;0;0;0;0
Arizona Coyotes;Laurent Dauphin\dauphla01;C;2;0;0;0;0;0;0;0;0
Toronto Maple Leafs;Brandon Davidson\davidbr01;D;44;4;2;0;0;0;0;0;0
Edmonton Oilers;Brandon Davidson\davidbr01;D;23;3;1;0;0;0;0;0;0
Montreal Canadiens;Brandon Davidson\davidbr01;D;13;0;1;0;0;0;0;0;0
New York Islanders;Brandon Davidson\davidbr01;D;8;1;0;0;0;0;0;0;0
New York Islanders;Calvin de Haan\dehaaca01;D;33;1;11;0;0;0;0;0;0
Montreal Canadiens;Jacob de La Rose\delarja01;AG;48;4;7;0;0;0;0;0;0
Pittsburgh Penguins;Jean-Sebastien Dea\deaje01;C;5;1;0;0;0;0;0;0;0
New York Rangers;Anthony DeAngelo\deangan01;D;32;0;8;0;0;0;0;0;0
Chicago Blackhawks;Alex DeBrincat\debrial01;AD;75;25;21;0;0;0;0;0;0
Boston Bruins;Jake Debrusk\debruja01;AG;64;14;25;0;0;0;0;0;0
Detroit Red Wings;Danny DeKeyser\dekeyda01;D;57;5;4;0;0;0;0;0;0
Vancouver Canucks;Michael Del Zotto\delzomi01;D;75;6;14;0;0;0;0;0;0
San Jose Sharks;Dylan DeMelo\demeldy01;D;55;0;18;0;0;0;0;0;0
Arizona Coyotes;Jason Demers\demerja01;D;69;6;14;0;0;0;0;0;0
Toronto Maple Leafs;Travis Dermott\dermotr01;D;31;1;11;0;0;0;0;0;0
New York Rangers;David Desharnais\deshada01;C;69;6;21;0;0;0;0;0;0
Montreal Canadiens;Nicolas Deslauriers\deslani01;AG;51;8;4;0;0;0;0;0;0
Carolina Hurricanes;Phillip Di Giuseppe\digiuph01;AG;41;3;4;0;0;0;0;0;0
Dallas Stars;Jason Dickinson\dickija01;C;25;0;2;0;0;0;0;0;0
Ottawa Senators;Christopher Didomenico\didomch01;AG;24;6;4;0;0;0;0;0;0
San Jose Sharks;Brenden Dillon\dillobr01;D;73;3;15;0;0;0;0;0;0
Washington Capitals;Christian Djoos\djoosch01;D;60;3;11;0;0;0;0;0;0
Arizona Coyotes;Max Domi\domima01;AG;74;8;29;0;0;0;0;0;0
Boston Bruins;Ryan Donato\donatry01;C;3;2;2;0;0;0;0;0;0
San Jose Sharks;Joonas Donskoi\donskjo01;AD;62;13;17;0;0;0;0;0;0
Vancouver Canucks;Derek Dorsett\dorsede01;AD;20;7;2;0;0;0;0;0;0
Tampa Bay Lightning;Jake Dotchin\dotchja01;D;48;3;8;0;0;0;0;0;0
Los Angeles Kings;Drew Doughty\doughdr01;D;75;9;46;0;0;0;0;0;0
Toronto Maple Leafs;Nic Dowd\dowdni01;C;53;2;1;0;0;0;0;0;0
Vancouver Canucks;Nic Dowd\dowdni01;C;37;2;0;0;0;0;0;0;0
Los Angeles Kings;Nic Dowd\dowdni01;C;16;0;1;0;0;0;0;0;0
Edmonton Oilers;Leon Draisaitl\draisle01;C;70;23;43;0;0;0;0;0;0
Montreal Canadiens;Jonathan Drouin\drouijo01;AG;70;12;27;0;0;0;0;0;0
Columbus Blue Jackets;Brandon Dubinsky\dubinbr01;C;55;5;10;0;0;0;0;0;0
Columbus Blue Jackets;Pierre-Luc Dubois\duboipi01;AG;75;15;24;0;0;0;0;0;0
Toronto Maple Leafs;Matt Duchene\duchema01;C;73;23;27;0;0;0;0;0;0
Ottawa Senators;Matt Duchene\duchema01;C;59;19;21;0;0;0;0;0;0
Colorado Avalanche;Matt Duchene\duchema01;C;14;4;6;0;0;0;0;0;0
Toronto Maple Leafs;Anthony Duclair\duclaan01;AG;56;11;12;0;0;0;0;0;0
Arizona Coyotes;Anthony Duclair\duclaan01;AG;33;9;6;0;0;0;0;0;0
Chicago Blackhawks;Anthony Duclair\duclaan01;AG;23;2;6;0;0;0;0;0;0
Minnesota Wild;Mathew Dumba\dumbama01;D;73;11;30;0;0;0;0;0;0
Toronto Maple Leafs;Gabriel Dumont\dumonga01;C;30;1;1;0;0;0;0;0;0
Ottawa Senators;Gabriel Dumont\dumonga01;C;23;1;1;0;0;0;0;0;0
Tampa Bay Lightning;Gabriel Dumont\dumonga01;C;7;0;0;0;0;0;0;0;0
Pittsburgh Penguins;Brian Dumoulin\dumoubr01;D;73;5;10;0;0;0;0;0;0
St. Louis Blues;Vince Dunn\dunnvi02;D;67;5;17;0;0;0;0;0;0
Arizona Coyotes;Christian Dvorak\dvorach01;C;74;15;20;0;0;0;0;0;0
Ottawa Senators;Ryan Dzingel\dzingry01;AG;70;20;13;0;0;0;0;0;0
Vegas Golden Knights;Cody Eakin\eakinco01;C;73;10;15;0;0;0;0;0;0
Anaheim Ducks;Patrick Eaves\eavespa01;AD;2;1;0;0;0;0;0;0;0
New York Islanders;Jordan Eberle\eberljo01;AD;73;25;29;0;0;0;0;0;0
Vancouver Canucks;Alexander Edler\edleral01;D;63;5;25;0;0;0;0;0;0
St. Louis Blues;Joel Edmundson\edmunjo01;D;61;7;9;0;0;0;0;0;0
Winnipeg Jets;Nikolaj Ehlers\ehlerni01;AG;74;28;28;0;0;0;0;0;0
Buffalo Sabres;Jack Eichel\eicheja01;C;59;22;32;0;0;0;0;0;0
Florida Panthers;Aaron Ekblad\ekblaaa01;D;72;15;17;0;0;0;0;0;0
Nashville Predators;Mattias Ekholm\ekholma01;D;72;10;21;0;0;0;0;0;0
Arizona Coyotes;Oliver Ekman-Larsson\ekmanol01;D;74;13;26;0;0;0;0;0;0
Dallas Stars;Remi Elie\eliere01;AG;67;6;8;0;0;0;0;0;0
Washington Capitals;Lars Eller\ellerla01;C;73;17;20;0;0;0;0;0;0
Nashville Predators;Ryan Ellis\ellisry01;D;35;7;17;0;0;0;0;0;0
Nashville Predators;Alexei Emelin\emelial01;D;70;1;8;0;0;0;0;0;0
Vegas Golden Knights;Deryk Engelland\engelde01;D;73;5;17;0;0;0;0;0;0
Minnesota Wild;Tyler Ennis\ennisty01;AG;69;8;12;0;0;0;0;0;0
Winnipeg Jets;Toby Enstrom\enstrto01;D;43;1;5;0;0;0;0;0;0
Detroit Red Wings;Jonathan Ericsson\ericsjo01;D;73;3;9;0;0;0;0;0;0
Vancouver Canucks;Loui Eriksson\erikslo01;AG;50;10;13;0;0;0;0;0;0
Minnesota Wild;Joel Eriksson Ek\eriksjo02;AG;66;4;10;0;0;0;0;0;0
Tampa Bay Lightning;Adam Erne\ernead01;AG;21;3;1;0;0;0;0;0;0
Dallas Stars;Radek Faksa\faksara01;C;72;14;16;0;0;0;0;0;0
Buffalo Sabres;Justin Falk\falkju01;D;40;1;1;0;0;0;0;0;0
Los Angeles Kings;Oscar Fantenberg\fanteos01;D;26;2;7;0;0;0;0;0;0
Buffalo Sabres;Hudson Fasching\faschhu01;AD;5;0;0;0;0;0;0;0;0
New York Rangers;Jesper Fast\fastje01;AD;66;13;17;0;0;0;0;0;0
Carolina Hurricanes;Justin Faulk\faulkju01;D;74;7;23;0;0;0;0;0;0
Buffalo Sabres;Taylor Fedun\fedunta01;D;7;0;1;0;0;0;0;0;0
Toronto Maple Leafs;Eric Fehr\fehrer01;C;17;3;1;0;0;0;0;0;0
San Jose Sharks;Eric Fehr\fehrer01;C;13;3;1;0;0;0;0;0;0
Toronto Maple Leafs;Eric Fehr\fehrer01;C;4;0;0;0;0;0;0;0;0
Calgary Flames;Micheal Ferland\ferlami01;AG;70;21;18;0;0;0;0;0;0
Minnesota Wild;Landon Ferraro\ferrala01;C;2;1;0;0;0;0;0;0;0
Nashville Predators;Kevin Fiala\fialake01;AG;71;23;22;0;0;0;0;0;0
Philadelphia Flyers;Valtteri Filppula\filppva01;C;75;11;21;0;0;0;0;0;0
Anaheim Ducks;Giovanni Fiore\fioregi01;AG;1;0;0;0;0;0;0;0;0
Arizona Coyotes;Christian Fischer\fischch01;AD;71;13;18;0;0;0;0;0;0
Nashville Predators;Mike Fisher\fishemi01;C;8;2;1;0;0;0;0;0;0
Carolina Hurricanes;Haydn Fleury\fleurha01;D;59;0;6;0;0;0;0;0;0
Minnesota Wild;Marcus Foligno\foligma01;AG;68;8;14;0;0;0;0;0;0
Columbus Blue Jackets;Nick Foligno\foligni01;AG;71;15;18;0;0;0;0;0;0
Los Angeles Kings;Christian Folin\folinch01;D;58;3;8;0;0;0;0;0;0
Los Angeles Kings;Derek Forbort\forbode01;D;73;1;16;0;0;0;0;0;0
Ottawa Senators;Alex Formenton\formeal01;AG;1;0;0;0;0;0;0;0;0
Nashville Predators;Filip Forsberg\forsbfi01;AG;59;21;32;0;0;0;0;0;0
Chicago Blackhawks;Gustav Forsling\forslgu02;D;41;3;10;0;0;0;0;0;0
Anaheim Ducks;Cam Fowler\fowleca01;D;63;8;22;0;0;0;0;0;0
Chicago Blackhawks;Cody Franson\fransco01;D;23;1;6;0;0;0;0;0;0
New York Islanders;Tanner Fritz\fritzta01;C;27;2;3;0;0;0;0;0;0
Detroit Red Wings;Martin Frk\frkma01;AD;60;11;12;0;0;0;0;0;0
Montreal Canadiens;Byron Froese\froesby01;C;46;3;8;0;0;0;0;0;0
Calgary Flames;Michael Frolik\frolimi01;AD;63;10;13;0;0;0;0;0;0
Toronto Maple Leafs;Marian Gaborik\gaborma01;AD;46;11;10;0;0;0;0;0;0
Los Angeles Kings;Marian Gaborik\gaborma01;AD;30;7;7;0;0;0;0;0;0
Ottawa Senators;Marian Gaborik\gaborma01;AD;16;4;3;0;0;0;0;0;0
Vancouver Canucks;Sam Gagner\gagnesa01;C;67;8;21;0;0;0;0;0;0
Montreal Canadiens;Alex Galchenyuk\galchal01;AG;75;16;29;0;0;0;0;0;0
Montreal Canadiens;Brendan Gallagher\gallabr01;AD;75;27;19;0;0;0;0;0;0
Toronto Maple Leafs;Jake Gardiner\gardija01;D;74;5;39;0;0;0;0;0;0
Vegas Golden Knights;Jason Garrison\garrija01;D;8;0;1;0;0;0;0;0;0
Nashville Predators;Frederick Gaudreau\gaudrfr01;C;20;0;3;0;0;0;0;0;0
Calgary Flames;Johnny Gaudreau\gaudrjo01;AG;75;23;59;0;0;0;0;0;0
Vancouver Canucks;Brendan Gaunce\gauncbr01;AG;34;4;1;0;0;0;0;0;0
Toronto Maple Leafs;Frederik Gauthier\gauthfr01;C;9;1;0;0;0;0;0;0;0
Columbus Blue Jackets;Nathan Gerbe\gerbena01;AG;2;0;0;0;0;0;0;0;0
Anaheim Ducks;Ryan Getzlaf\getzlry01;C;49;11;45;0;0;0;0;0;0
New Jersey Devils;Brian Gibbons\gibbobr02;AG;52;12;14;0;0;0;0;0;0
